case_id,pdb_id,mode,affinity_kcal_mol,rmsd_to_best_lower_bound_angstrom,rmsd_to_best_upper_bound_angstrom
pilot-001,1STP,1,-7.244,0,0
pilot-001,1STP,2,-6.175,1.95,2.222
pilot-001,1STP,3,-6.093,1.843,2.298
pilot-001,1STP,4,-5.968,3.989,6.574
pilot-001,1STP,5,-5.864,4.721,7.601
pilot-001,1STP,6,-5.788,2.555,6.08
pilot-001,1STP,7,-5.358,5.142,7.755
pilot-001,1STP,8,-5.207,4.337,6.323
pilot-001,1STP,9,-4.964,4.653,6.617
pilot-007,3D4Q,1,-10.96,0,0
pilot-007,3D4Q,2,-10.22,3.223,7.709
pilot-007,3D4Q,3,-10.04,3.706,8.352
pilot-007,3D4Q,4,-9.759,3.362,7.681
pilot-007,3D4Q,5,-9.593,3.69,5.958
pilot-007,3D4Q,6,-9.53,3.962,6.287
pilot-007,3D4Q,7,-9.349,3.795,6.338
pilot-007,3D4Q,8,-9.284,3.325,5.714
pilot-007,3D4Q,9,-8.843,2.527,4.013
